hsa-mir-205,hsa-let-7a,hsa-mir-200c,hsa-mir-574-3p,hsa-mir-320a,hsa-mir-145,hsa-mir-122,hsa-mir-16,hsa-mir-744,hsa-mir-1280,hsa-mir-922,hsa-mir-375,hsa-mir-19b,hsa-let-7e,hsa-mir-423-5p,hsa-mir-646,hsa-mir-194,hsa-mir-625*,hsa-mir-20a,hsa-mir-571,,,,,,,,,,,,
hsa-mir-205,hsa-mir-122,hsa-mir-574-3p,hsa-mir-200c,hsa-let-7a,hsa-mir-145,hsa-mir-320a,hsa-mir-1268,hsa-mir-16,hsa-let-7e,hsa-mir-571,hsa-mir-922,hsa-mir-375,hsa-mir-1280,hsa-mir-20a,hsa-mir-30d,hsa-mir-194,hsa-mir-708,hsa-mir-19b,hsa-mir-423-5p,hsa-mir-574-5p,hsa-mir-646,hsa-mir-744,hsa-mir-106b,hsa-mir-625*,,,,,,,
hsa-mir-205,hsa-let-7a,hsa-mir-145,hsa-mir-574-3p,hsa-mir-200c,hsa-mir-320a,hsa-mir-122,hsa-mir-20a,hsa-let-7e,hsa-mir-646,hsa-mir-571,hsa-mir-1280,hsa-mir-922,hsa-mir-625*,hsa-mir-574-5p,hsa-mir-423-5p,hsa-mir-375,hsa-mir-16,hsa-mir-125b,hsa-mir-19b,,,,,,,,,,,,
hsa-mir-205,hsa-mir-122,hsa-let-7a,hsa-mir-200c,hsa-mir-145,hsa-mir-16,hsa-mir-320a,hsa-mir-375,hsa-mir-574-5p,hsa-let-7e,hsa-mir-423-5p,hsa-mir-106b,hsa-mir-1268,hsa-mir-203,hsa-mir-574-3p,hsa-mir-922,hsa-mir-23b,hsa-mir-302b,hsa-mir-19b,hsa-mir-1280,hsa-mir-20a,hsa-mir-625*,hsa-mir-130b,hsa-mir-571,hsa-mir-744,hsa-mir-125b,hsa-mir-142-3p,hsa-mir-92b,hsa-mir-1288,hsa-mir-15b,hsa-mir-378,hsa-let-7b
hsa-mir-205,hsa-mir-122,hsa-mir-145,hsa-mir-574-3p,hsa-mir-200c,hsa-mir-375,hsa-mir-320a,hsa-let-7a,hsa-mir-574-5p,hsa-let-7e,hsa-mir-16,hsa-mir-106b,hsa-mir-1280,hsa-mir-1268,hsa-mir-571,hsa-mir-922,hsa-mir-625*,hsa-mir-423-5p,hsa-mir-20a,hsa-mir-203,hsa-mir-19b,hsa-mir-30d,hsa-mir-744,hsa-mir-302b,hsa-mir-23b,hsa-mir-130b,hsa-mir-92b,hsa-mir-378,hsa-mir-142-3p,hsa-mir-15b,hsa-mir-1288,hsa-mir-125b
hsa-mir-200c,hsa-mir-205,hsa-let-7a,hsa-mir-16,hsa-mir-320a,hsa-mir-423-5p,hsa-mir-574-3p,hsa-mir-145,hsa-mir-922,hsa-mir-1280,hsa-mir-646,hsa-mir-19b,hsa-mir-122,hsa-mir-744,hsa-mir-375,hsa-mir-625*,,,,,,,,,,,,,,,,
hsa-mir-200c,hsa-mir-205,hsa-mir-574-3p,hsa-mir-16,hsa-let-7a,hsa-mir-122,hsa-mir-571,hsa-mir-423-5p,hsa-mir-19b,hsa-mir-1268,hsa-mir-320a,hsa-let-7e,hsa-mir-145,hsa-mir-30d,hsa-mir-375,hsa-mir-922,hsa-mir-744,hsa-mir-625*,hsa-mir-302b,hsa-mir-1280,,,,,,,,,,,,
hsa-mir-205,hsa-mir-122,hsa-let-7a,hsa-mir-200c,hsa-mir-574-3p,hsa-mir-145,hsa-mir-1268,hsa-let-7e,hsa-mir-320a,hsa-mir-375,hsa-mir-194,hsa-mir-16,hsa-mir-423-5p,hsa-mir-574-5p,hsa-mir-922,hsa-mir-19b,hsa-mir-20a,hsa-mir-302b,hsa-mir-625*,hsa-mir-744,hsa-mir-106b,hsa-mir-1280,hsa-mir-646,hsa-mir-92b,hsa-mir-23b,,,,,,,
hsa-mir-205,hsa-mir-122,hsa-mir-320a,hsa-mir-574-3p,hsa-let-7a,hsa-mir-200c,hsa-mir-145,hsa-mir-194,hsa-mir-708,hsa-mir-423-5p,hsa-let-7e,hsa-mir-625*,hsa-mir-16,hsa-mir-375,hsa-mir-1268,hsa-mir-1280,hsa-mir-744,hsa-mir-302b,hsa-mir-574-5p,hsa-mir-922,hsa-mir-19b,hsa-mir-646,hsa-mir-106b,hsa-mir-20a,hsa-mir-23b,,,,,,,
hsa-mir-205,hsa-mir-200c,hsa-mir-122,hsa-mir-574-3p,hsa-mir-145,hsa-mir-1268,hsa-let-7a,hsa-mir-571,hsa-mir-423-5p,hsa-mir-574-5p,hsa-mir-320a,hsa-mir-708,hsa-mir-375,hsa-let-7e,hsa-mir-16,hsa-mir-20a,hsa-mir-646,hsa-mir-744,hsa-mir-1280,hsa-mir-23b,hsa-mir-922,hsa-mir-625*,hsa-mir-19b,hsa-mir-130b,hsa-mir-106b,,,,,,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
20.0,25.0,20.0,32.0,32.0,16.0,20.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,
